;char_type
dumb;10
blonde;10
brainless;7
beauty;7
prima;6
chanteuse;6
donna;6
ophelia;5
granola;4
broken;4
bird;4
slacker;2
mentor;2
eccentric;2
prophet;2
junkie;2
ditz;1
burglar;1
cat;1
classy;1
badass;1
guy;1
kungfu;1
arrogant;1
heartbroken;1
klutz;1
storyteller;1
archaeologist;1
adventurer;1
doormat;1
bully;1
